"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CARMIL3",174.96948779065,3.38265729233411,0.643356518702492,5.25782702747177,1.45767525843765e-07,1.87161240016159e-06
"CYP27C1",57.3231815476158,2.9883122984585,0.703161321127246,4.24982462583111,2.13937950212474e-05,0.000150740415598783
"KRT14",12.1075194137333,3.0149000920068,0.871517490053933,3.45936843082773,0.000541443727810063,0.00252206057175596
"ERCC6L",122.719526130184,3.58917312227824,0.448802170099172,7.99722764594731,1.27251840811973e-15,8.66857412227763e-14
"C1QL4",2.69361987525682,4.06884530796968,1.37433061094474,2.96060152889463,0.00307038902195808,0.0108353549207422
"RTN4RL2",405.101180672626,3.84919735925589,0.51677254862768,7.44853295609,9.43838550215117e-14,4.41534636534035e-12
"ZACN",5.88184955530579,2.00822073822176,0.84156978871408,2.38627950427061,0.0170198101362307,0.0449497044886639
"ESPN",366.79984487038,3.11438755611021,0.684673638007685,4.54871837211769,5.39736167861714e-06,4.54337646611913e-05
"AKR1C1",11390.9269781414,4.21648233606339,0.82246764063502,5.12662398827981,2.94983818013583e-07,3.50522289470306e-06
"MAGED4B",1.1411269200562,3.08017159453116,1.24221393729293,2.47958222175768,0.0131536399647181,0.0363092181769546
"NPSR1",1.05853783553795,2.90363905404861,1.20183894673082,2.41599680385374,0.0156921990893434,0.0420170317863734
"H1-6",2.5111983419395,3.63792453274823,0.99209320638118,3.66691809736118,0.000245491381657014,0.00127370971632908
"KCNJ11",345.102378394775,2.24117311743417,0.585448585507093,3.82812969902891,0.000129120713484783,0.000727108230918629
"RPL7P48",2.7320616063483,2.02737706009689,0.847737583622338,2.39151489713835,0.0167790030184483,0.0444164958149532
"AGMO",32.1997954687088,2.51885554779318,0.890262017636935,2.82934180936877,0.00466438527242484,0.0154413067552475
"SBK2",14.4711371027976,4.55913834233669,1.27835799266349,3.56640187529757,0.00036191623476894,0.00178294901241695
"PLEKHN1",142.246385753076,3.01857381415384,0.532193980828236,5.67194279322012,1.41187127548432e-08,2.31382694530018e-07
"LOC124903372",17.634397904734,3.9889945845744,0.87245752436645,4.57213614779823,4.8277707125531e-06,4.11704062745143e-05
"SLC18A3",35.5881847681575,23.4161820092639,2.95706448137795,7.91872553227255,2.39957376797424e-15,1.53876038059224e-13
"KBTBD12",94.1079901727501,2.34049920542734,0.906275875261998,2.58254607599559,0.00980742653250878,0.0285396737170992
"DNAJB13",81.884939307545,2.22350694524417,0.537020448007258,4.14045117554651,3.46623383459032e-05,0.000230634369600299
"FANCA",444.403691758671,2.72029405171718,0.395647881998298,6.87554306616731,6.17541467367744e-12,2.01686039464066e-10
"LIN28B",29.3304347755555,8.93648642442194,2.61685901290529,3.41496671404565,0.000637898063593434,0.00288939978051082
"DIPK1C",2.85557975483928,2.10227222995938,0.838668696942459,2.50667783073776,0.0121871736103285,0.0340915312278139
