"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EPB42",1.89420452857627,-4.57432484542647,1.2568277654519,-3.63957971900928,0.000273083387297217,0.00139686772319251
"MS4A15",1514.0337878984,-5.59384944973665,0.529317826944012,-10.5680352427056,4.1918448447226e-26,1.38689312985757e-23
"LOXHD1",45.3988315189626,-2.17611693084358,0.4867423237946,-4.47077811906465,7.79355217537835e-06,6.23620759241894e-05
"DPEP2",349.099927597036,-2.36371409110219,0.320279323943704,-7.38016448266782,1.58094097402412e-13,7.021653987548e-12
"CA4",1058.08443699604,-5.14856945482046,0.38285437612928,-13.447853219998,3.16940760600938e-41,9.0443007796985e-38
"GPD1",1260.7201848108,-4.59333218884539,0.499930756093267,-9.18793679496778,4.00448071670047e-20,5.71364314259719e-18
"KIR3DL1",8.41209484725096,-2.25322643042069,0.504020039006696,-4.47050961477894,7.80334355694177e-06,6.24185459220125e-05
"PPP1R14A",829.575932839195,-2.68534166368811,0.477431076844866,-5.62456403431962,1.85977058615844e-08,2.95659489633781e-07
"KLK5",52.3075316406746,-4.13615840194044,0.871303420996924,-4.74709303586568,2.06361045291856e-06,1.96784306723801e-05
"KRT1",38.4734926397705,-3.1638244583195,0.799469586369344,-3.95740439944373,7.57685959997063e-05,0.000455549454326388
"CD300C",277.919176925771,-2.02480418523045,0.29364657591132,-6.89537815636552,5.37217020732476e-12,1.77227274079504e-10
"TEKT1",374.252744492299,-2.74409889605277,1.02469770176383,-2.67795945216751,0.00740721847717132,0.022637133951184
"TMEM88",218.064782733063,-2.64661143002165,0.43261115941756,-6.11776042389863,9.48995940146338e-10,2.00412842901025e-08
"ABCA3",23685.4389794328,-2.12420520614924,0.532259208254087,-3.99092241751353,6.58168097718826e-05,0.000403039686234525
"PLAAT5",67.8303723280917,-3.87815697458084,0.542822667932896,-7.144427091354,9.03720086280418e-13,3.49086731805341e-11
"SCARA5",601.662390307371,-3.94745098752745,0.625906511482527,-6.3067741189934,2.84911159572974e-10,6.79648574910284e-09
"FAM107A",6463.20656331664,-5.54723563210887,0.491671049456125,-11.2824125769559,1.60288828824018e-29,7.95485581135544e-27
"TNXB",3553.64632117018,-3.76162178755451,0.505174096643546,-7.4461889723707,9.60751618334032e-14,4.48527580673775e-12
"LGI3",1733.47495055807,-6.6269935503577,0.580365439305987,-11.4186564215168,3.37409749422998e-30,1.92568179239441e-27
"SFTPC",490046.326348037,-6.60256707250051,0.688460473764817,-9.59033571875907,8.77988603314278e-22,1.50703773120764e-19
"CAVIN2",8453.21176307891,-3.85892877665225,0.476291394470352,-8.10203338009808,5.40481083691662e-16,3.84667187148765e-14
"MYL1",1.23010658969887,-3.93176326665494,1.16996610237382,-3.36057878828928,0.000777793431846438,0.00341480357950728
"CHRM1",73.300240470458,-4.86730889979488,0.496065514374355,-9.81182678246362,1.00139039316802e-22,2.08783903453775e-20
"GFRA2",91.8323851154052,-2.12576728205733,0.36756411024042,-5.78339185691139,7.320925792428e-09,1.27677169530434e-07
"DYNLRB2",95.0014136954233,-2.10360135566682,0.752913275925939,-2.79394908142613,0.00520686765440175,0.0169456809855026
"ADAM29",13.2002284210059,-2.05734064549249,0.72609264999985,-2.83344094654162,0.00460498155678532,0.0152756704606082
"MUCL3",421.403675991176,-3.34171794182318,0.592632349952282,-5.63877071862893,1.71268398432247e-08,2.74956840211657e-07
"VWA3B",288.839045548347,-2.57506783969468,0.801085143820384,-3.21447459057118,0.00130683480475932,0.00529278533827825
"SLC16A4",711.212277534805,-2.03054705121658,0.408577806030546,-4.96979283075589,6.70244758801091e-07,7.25854724794597e-06
"IL7R",5464.62042269509,-2.8183115292729,0.380133986955598,-7.41399513325308,1.22550418787477e-13,5.52905832114489e-12
"WFDC12",23.8631098217849,-4.82306593271693,0.516874245020687,-9.33121736898285,1.04661786939386e-20,1.67085589792954e-18
"NPNT",6326.73665494054,-2.8121974971506,0.314736030028529,-8.93509871397849,4.06814844961833e-19,4.81200833970658e-17
"BTNL3",16.0023540244846,-5.12814257892459,1.01495954131171,-5.05255861952593,4.35930501622836e-07,4.95363734273157e-06
"STXBP6",1172.79256362715,-3.95543241446245,0.436847328510245,-9.05449605918716,1.37199837356221e-19,1.80007763620987e-17
"PXDC1",1792.51180713201,-2.42561927394752,0.251208286600572,-9.65580915650411,4.64477791106005e-22,8.48285079452718e-20
"KLK7",217.772242297576,-3.85451984145249,1.03500827312447,-3.72414399144513,0.000195979052197055,0.00104386509160209
"PCSK9",739.535689995583,-2.59111475638987,0.476756012645949,-5.4348863730306,5.48313621167658e-08,7.78932897177129e-07
"GSG1L",14.0059801493236,-4.91533320054913,0.797384988776323,-6.16431619573408,7.07883677706691e-10,1.52888140760322e-08
"IL13",6.8842853276908,-2.24094996705392,0.72118246311536,-3.10732731543898,0.00188787244818426,0.0072178593978562
"RSPO1",147.282426577082,-4.20724967281551,0.536295349011054,-7.84502360606671,4.32872054581917e-15,2.59371027140435e-13
"GCSAML",63.6553247143729,-2.634440220124,0.417993878649134,-6.30258086227946,2.92729727697209e-10,6.95393023267385e-09
"ADRB2",1115.05890346378,-4.25005626395462,0.412580140388985,-10.3011653928559,6.96127903522221e-25,2.03742357814215e-22
"HSPB3",37.2970590271082,-4.79947077925316,0.589677694261408,-8.139142494214,3.98087237354623e-16,2.89424635081805e-14
"KCNAB1",202.077838240996,-2.41945348244375,0.302722692264413,-7.99230960964922,1.32433938708257e-15,8.97131865510622e-14
"IL1RAPL1",1.77134993693541,-2.20027279754507,0.935039366320998,-2.35313386451552,0.018615930958187,0.0484421620704948
"C22orf15",59.9180969678363,-2.30174990163349,0.874838673239226,-2.6310564130766,0.00851199054313497,0.0253830397219605
"NPR1",1972.19003002786,-2.52140596249226,0.561033839611934,-4.49421368991987,6.98274821022667e-06,5.6911516919409e-05
"CD52",3556.9726745325,-2.7632348912653,0.435623973326711,-6.34316534547772,2.25091618344004e-10,5.50410122182128e-09
"CLIC3",1458.53298473876,-2.70984695691569,0.444258624007838,-6.09970591559722,1.06263788001217e-09,2.20937706400709e-08
"GP9",11.1355908818255,-3.83932108716752,0.759753194149813,-5.05337932993337,4.34060597420624e-07,4.93484530802561e-06
"LDB2",2033.65727737545,-3.2060320227576,0.351205946727395,-9.12863820397127,6.93663240481534e-20,9.65587690058105e-18
"P2RY1",564.682943956628,-2.20933255110543,0.249984274873964,-8.8378861119137,9.75466372599063e-19,1.0654986516777e-16
"AHSP",2.76493088396067,-3.48215979494918,1.00982050879252,-3.44829577596213,0.000564135903908061,0.00261124463712837
"FRMPD4",5.17459758788798,-2.99555406816061,0.748529373915836,-4.00191919321716,6.28307585696869e-05,0.000387351711419763
"SERPINA9",13.2301265361107,-3.20108654866298,0.897823246136652,-3.56538612966116,0.000363320883659316,0.00178871090210449
"SERPINA6",15.0845388370543,-3.56332149185394,1.26582465864443,-2.81501981140886,0.00487742269875628,0.0160257171545635
"SLN",15.4776326434628,-3.02061494559219,0.612270341998379,-4.93346604987146,8.07830889865979e-07,8.57766110918625e-06
"FABP4",3906.99881539968,-6.75549616713633,0.607007972345675,-11.129172061828,9.0471905115423e-29,3.97189061899998e-26
"CST5",36.5762458300265,-2.82025592385478,0.598008785246607,-4.71607774573372,2.4043459221395e-06,2.24494122930563e-05
"KRT4",899.443237092624,-3.68874685652169,0.679765369831457,-5.42650011346752,5.74697886956347e-08,8.12166717419921e-07
"OR10A3",1.6033092628875,-3.28999366409093,0.989386949518911,-3.3252850825359,0.000883281687549316,0.00380820352125842
"SYT9",6.25119023745289,-3.47447191085615,0.661306998268685,-5.25394698672839,1.48873748614671e-07,1.90720471780265e-06
"RBMXL2",1.00724814849428,-2.62376839441254,1.087747717245,-2.41211114747997,0.0158604456598517,0.0423334635763771
"PLA2G1B",448.044462114537,-2.53713478013854,0.731932093600175,-3.46635268807392,0.000527570744659556,0.00246548874715108
"OSCAR",937.911359306315,-2.05550279813935,0.339970185361234,-6.0461266506511,1.48369480058062e-09,3.02152262287734e-08
"CEACAM3",30.6053779023587,-2.06276550084426,0.443080033525471,-4.65551445510054,3.23172730782437e-06,2.91414713773325e-05
"HAS2",500.895803550777,-2.78212941318515,0.543769257769897,-5.1163786356647,3.11457530095246e-07,3.68026084603746e-06
"S1PR1",4320.50417726834,-3.69296754383942,0.329214043178605,-11.2175273818314,3.34492256652933e-29,1.52722474542596e-26
"FPR2",524.126639645707,-4.09349389283052,0.532870731223436,-7.68196422316558,1.5666759613051e-14,8.51562988586529e-13
